quantidade,data_do_pedido,status,tipo_do_produto,comprador,pais_do_comprador,valor_do_pedido
30,21/10/2021,Concluída,Carros Vintage,Mini Gifts Distributors Ltd.,EUA,240
40,19/11/2021,Concluída,Ônibus e Caminhões,Mini Gifts Distributors Ltd.,EUA,400
44,19/11/2021,Concluída,Ônibus e Caminhões,Mini Gifts Distributors Ltd.,EUA,440
41,10/12/2021,Concluída,Carros Vintage,Mini Gifts Distributors Ltd.,EUA,328
41,10/12/2021,Concluída,Ônibus e Caminhões,Mini Gifts Distributors Ltd.,EUA,410
49,10/12/2021,Concluída,Carros Vintage,Mini Gifts Distributors Ltd.,EUA,392
25,10/12/2021,Concluída,Carros Vintage,Mini Gifts Distributors Ltd.,EUA,200
44,10/12/2021,Concluída,Carros Vintage,Mini Gifts Distributors Ltd.,EUA,352
39,10/12/2021,Concluída,Ônibus e Caminhões,Mini Gifts Distributors Ltd.,EUA,390
49,10/12/2021,Concluída,Ônibus e Caminhões,Mini Gifts Distributors Ltd.,EUA,490
28,10/12/2021,Concluída,Ônibus e Caminhões,Mini Gifts Distributors Ltd.,EUA,280
46,19/01/2022,Concluída,Carros Vintage,Mini Gifts Distributors Ltd.,EUA,368
26,23/01/2022,Concluída,Ônibus e Caminhões,Mini Gifts Distributors Ltd.,EUA,260
20,23/01/2022,Concluída,Ônibus e Caminhões,Mini Gifts Distributors Ltd.,EUA,200
20,23/01/2022,Concluída,Ônibus e Caminhões,Mini Gifts Distributors Ltd.,EUA,200
49,23/01/2022,Concluída,Ônibus e Caminhões,Mini Gifts Distributors Ltd.,EUA,490
48,23/01/2022,Concluída,Ônibus e Caminhões,Mini Gifts Distributors Ltd.,EUA,480
30,23/01/2022,Concluída,Trens,Mini Gifts Distributors Ltd.,EUA,420
26,17/02/2022,Concluída,Ônibus e Caminhões,Mini Gifts Distributors Ltd.,EUA,260
39,17/02/2022,Concluída,Ônibus e Caminhões,Mini Gifts Distributors Ltd.,EUA,390
39,17/02/2022,Concluída,Carros Vintage,Mini Gifts Distributors Ltd.,EUA,312
33,17/02/2022,Concluída,Carros Vintage,Mini Gifts Distributors Ltd.,EUA,264
32,17/02/2022,Concluída,Ônibus e Caminhões,Mini Gifts Distributors Ltd.,EUA,320
20,17/02/2022,Concluída,Ônibus e Caminhões,Mini Gifts Distributors Ltd.,EUA,200
48,17/02/2022,Concluída,Ônibus e Caminhões,Mini Gifts Distributors Ltd.,EUA,480
50,17/02/2022,Concluída,Carros Vintage,Mini Gifts Distributors Ltd.,EUA,400
37,28/02/2022,Concluída,Carros Vintage,Mini Gifts Distributors Ltd.,EUA,296
25,28/02/2022,Concluída,Barcos,Mini Gifts Distributors Ltd.,EUA,300
31,04/03/2022,Concluída,Carros Vintage,Mini Gifts Distributors Ltd.,EUA,248
22,04/03/2022,Concluída,Motocicletas,Mini Gifts Distributors Ltd.,EUA,88
45,04/03/2022,Concluída,Motocicletas,Mini Gifts Distributors Ltd.,EUA,180
41,04/03/2022,Concluída,Motocicletas,Mini Gifts Distributors Ltd.,EUA,164
36,04/03/2022,Concluída,Motocicletas,Mini Gifts Distributors Ltd.,EUA,144
26,04/03/2022,Concluída,Carros Vintage,Mini Gifts Distributors Ltd.,EUA,208
35,04/03/2022,Concluída,Motocicletas,Mini Gifts Distributors Ltd.,EUA,140
49,23/03/2022,Concluída,Barcos,Mini Gifts Distributors Ltd.,EUA,588
45,23/03/2022,Concluída,Carros Vintage,Mini Gifts Distributors Ltd.,EUA,360
24,23/03/2022,Concluída,Trens,Mini Gifts Distributors Ltd.,EUA,336
27,23/03/2022,Concluída,Carros Vintage,Mini Gifts Distributors Ltd.,EUA,216
37,23/03/2022,Concluída,Carros Vintage,Mini Gifts Distributors Ltd.,EUA,296
39,23/03/2022,Concluída,Barcos,Mini Gifts Distributors Ltd.,EUA,468
33,23/03/2022,Concluída,Carros Vintage,Mini Gifts Distributors Ltd.,EUA,264
40,29/05/2022,Cancelada,Carros Vintage,Mini Gifts Distributors Ltd.,EUA,320
35,29/05/2022,Cancelada,Carros Vintage,Mini Gifts Distributors Ltd.,EUA,280
46,03/06/2020,Concluída,Trens,Muscle Machine Inc,EUA,644
29,03/06/2020,Concluída,Trens,Muscle Machine Inc,EUA,406
40,16/06/2020,Concluída,Barcos,Auto-Moto Classics Inc.,EUA,480
22,16/06/2020,Concluída,Barcos,Gift Ideas Corp.,EUA,264
46,10/08/2020,Concluída,Barcos,Mini Creations Ltd.,EUA,552
31,10/08/2020,Concluída,Barcos,Mini Creations Ltd.,EUA,372
26,10/08/2020,Concluída,Barcos,Mini Creations Ltd.,EUA,312
36,02/10/2020,Concluída,Barcos,Boards & Toys Co.,EUA,432
29,21/10/2020,Concluída,Barcos,FunGiftIdeas.com,EUA,348
21,14/11/2020,Concluída,Barcos,Mini Creations Ltd.,EUA,252
39,14/11/2020,Concluída,Barcos,Mini Creations Ltd.,EUA,468
20,14/11/2020,Concluída,Trens,Mini Creations Ltd.,EUA,280
28,14/11/2020,Concluída,Barcos,Mini Creations Ltd.,EUA,336
30,14/11/2020,Concluída,Barcos,Mini Creations Ltd.,EUA,360
49,14/11/2020,Concluída,Trens,Mini Creations Ltd.,EUA,686
22,14/11/2020,Concluída,Barcos,Mini Creations Ltd.,EUA,264
37,14/11/2020,Concluída,Barcos,Mini Creations Ltd.,EUA,444
30,14/11/2020,Concluída,Barcos,Mini Creations Ltd.,EUA,360
33,25/11/2020,Concluída,Trens,Mini Classics,EUA,462
50,26/11/2020,Concluída,Barcos,Super Scale Inc.,EUA,600
35,26/11/2020,Concluída,Trens,Super Scale Inc.,EUA,490
46,26/11/2020,Concluída,Trens,Super Scale Inc.,EUA,644
45,09/12/2020,Concluída,Trens,Diecast Collectables,EUA,630
28,09/01/2021,Concluída,Barcos,Men 'R' US Retailers Ltd.,EUA,336
33,09/01/2021,Concluída,Barcos,Men 'R' US Retailers Ltd.,EUA,396
38,19/02/2021,Concluída,Barcos,Collectable Mini Designs Co.,EUA,456
36,19/02/2021,Concluída,Barcos,Collectable Mini Designs Co.,EUA,432
36,19/02/2021,Concluída,Barcos,Collectable Mini Designs Co.,EUA,432
31,19/02/2021,Concluída,Barcos,Collectable Mini Designs Co.,EUA,372
49,19/02/2021,Concluída,Barcos,Collectable Mini Designs Co.,EUA,588
31,19/02/2021,Concluída,Barcos,Collectable Mini Designs Co.,EUA,372
26,19/02/2021,Concluída,Barcos,Collectable Mini Designs Co.,EUA,312
29,29/03/2021,Concluída,Barcos,Tekni Collectables Inc.,EUA,348
36,29/03/2021,Concluída,Barcos,Tekni Collectables Inc.,EUA,432
32,07/05/2021,Cancelada,Barcos,Land of Toys Inc.,EUA,384
40,07/05/2021,Cancelada,Barcos,Land of Toys Inc.,EUA,480
42,07/05/2021,Cancelada,Trens,Land of Toys Inc.,EUA,588
21,07/05/2021,Cancelada,Barcos,Land of Toys Inc.,EUA,252
23,07/05/2021,Cancelada,Barcos,Land of Toys Inc.,EUA,276
35,07/05/2021,Cancelada,Barcos,Land of Toys Inc.,EUA,420
48,07/05/2021,Cancelada,Barcos,Land of Toys Inc.,EUA,576
30,07/05/2021,Cancelada,Barcos,Land of Toys Inc.,EUA,360
36,07/05/2021,Cancelada,Barcos,Land of Toys Inc.,EUA,432
40,08/05/2021,Concluída,Barcos,Cambridge Collectables Co.,EUA,480
43,20/07/2021,Concluída,Trens,Diecast Classics Inc.,EUA,602
45,20/07/2021,Concluída,Trens,Diecast Classics Inc.,EUA,630
24,21/07/2021,Concluída,Barcos,Collectables For Less Inc.,EUA,288
35,08/09/2021,Concluída,Trens,Land of Toys Inc.,EUA,490
31,08/09/2021,Concluída,Trens,Land of Toys Inc.,EUA,434
45,10/09/2021,Concluída,Barcos,Online Mini Collectables,EUA,540
44,10/09/2021,Concluída,Barcos,Gifts4AllAges.com,EUA,528
34,10/09/2021,Concluída,Barcos,Gifts4AllAges.com,EUA,408
26,10/09/2021,Concluída,Barcos,Gifts4AllAges.com,EUA,312
34,14/10/2021,Concluída,Barcos,Classic Gift Ideas Inc.,EUA,408
31,14/10/2021,Concluída,Barcos,Classic Gift Ideas Inc.,EUA,372
36,21/11/2021,Concluída,Barcos,Classic Legends Inc.,EUA,432
31,21/11/2021,Concluída,Barcos,Classic Legends Inc.,EUA,372
42,21/11/2021,Concluída,Barcos,Classic Legends Inc.,EUA,504
29,21/11/2021,Concluída,Barcos,Classic Legends Inc.,EUA,348
36,21/11/2021,Concluída,Barcos,Classic Legends Inc.,EUA,432
21,21/11/2021,Concluída,Trens,Classic Legends Inc.,EUA,294
23,03/12/2021,Concluída,Barcos,Auto-Moto Classics Inc.,EUA,276
28,23/02/2022,Concluída,Barcos,Corporate Gift Ideas Co.,EUA,336
49,23/02/2022,Concluída,Barcos,Corporate Gift Ideas Co.,EUA,588
46,01/04/2022,Concluída,Barcos,The Sharp Gifts Warehouse,EUA,552
30,01/04/2022,Concluída,Barcos,The Sharp Gifts Warehouse,EUA,360
24,05/05/2022,Concluída,Trens,Gift Depot Inc.,EUA,336
51,05/05/2022,Concluída,Trens,Gift Depot Inc.,EUA,714
27,06/05/2022,Cancelada,Barcos,Gifts4AllAges.com,EUA,324
44,06/05/2022,Cancelada,Barcos,Gifts4AllAges.com,EUA,528
37,06/05/2022,Cancelada,Barcos,Gifts4AllAges.com,EUA,444
48,06/05/2022,Cancelada,Trens,Gifts4AllAges.com,EUA,672
23,06/05/2022,Cancelada,Barcos,Gifts4AllAges.com,EUA,276
47,06/05/2022,Cancelada,Barcos,Gifts4AllAges.com,EUA,564
28,06/05/2022,Cancelada,Barcos,Gifts4AllAges.com,EUA,336
31,06/05/2022,Cancelada,Barcos,Gifts4AllAges.com,EUA,372
34,06/05/2022,Cancelada,Barcos,Gifts4AllAges.com,EUA,408
27,04/04/2020,Concluída,Ônibus e Caminhões,Classic Legends Inc.,EUA,270
46,04/04/2020,Concluída,Ônibus e Caminhões,Classic Legends Inc.,EUA,460
45,03/06/2020,Concluída,Ônibus e Caminhões,Muscle Machine Inc,EUA,450
24,03/06/2020,Concluída,Ônibus e Caminhões,Muscle Machine Inc,EUA,240
45,03/06/2020,Concluída,Ônibus e Caminhões,Muscle Machine Inc,EUA,450
46,03/06/2020,Concluída,Ônibus e Caminhões,Muscle Machine Inc,EUA,460
26,24/07/2020,Concluída,Ônibus e Caminhões,Technics Stores Inc.,EUA,260
28,24/07/2020,Concluída,Ônibus e Caminhões,Technics Stores Inc.,EUA,280
46,24/07/2020,Concluída,Ônibus e Caminhões,Technics Stores Inc.,EUA,460
38,24/07/2020,Concluída,Ônibus e Caminhões,Technics Stores Inc.,EUA,380
47,24/07/2020,Concluída,Ônibus e Caminhões,Technics Stores Inc.,EUA,470
32,24/07/2020,Concluída,Ônibus e Caminhões,Technics Stores Inc.,EUA,320
40,24/07/2020,Concluída,Ônibus e Caminhões,Technics Stores Inc.,EUA,400
49,13/11/2020,Concluída,Ônibus e Caminhões,Classic Gift Ideas Inc.,EUA,490
21,13/11/2020,Concluída,Ônibus e Caminhões,Classic Gift Ideas Inc.,EUA,210
21,13/11/2020,Concluída,Ônibus e Caminhões,Classic Gift Ideas Inc.,EUA,210
41,13/11/2020,Concluída,Ônibus e Caminhões,Classic Gift Ideas Inc.,EUA,410
32,25/11/2020,Concluída,Ônibus e Caminhões,Mini Classics,EUA,320
49,25/11/2020,Concluída,Ônibus e Caminhões,Mini Classics,EUA,490
49,25/11/2020,Concluída,Ônibus e Caminhões,Mini Classics,EUA,490
35,25/11/2020,Concluída,Ônibus e Caminhões,Mini Classics,EUA,350
49,09/12/2020,Concluída,Ônibus e Caminhões,Diecast Collectables,EUA,490
47,09/12/2020,Concluída,Ônibus e Caminhões,Diecast Collectables,EUA,470
37,09/12/2020,Concluída,Ônibus e Caminhões,Diecast Collectables,EUA,370
34,09/12/2020,Concluída,Ônibus e Caminhões,Diecast Collectables,EUA,340
28,09/12/2020,Concluída,Ônibus e Caminhões,Diecast Collectables,EUA,280
43,09/12/2020,Concluída,Ônibus e Caminhões,Diecast Collectables,EUA,430
46,09/12/2020,Concluída,Ônibus e Caminhões,Diecast Collectables,EUA,460
27,09/12/2020,Concluída,Ônibus e Caminhões,Diecast Collectables,EUA,270
46,29/01/2021,Concluída,Ônibus e Caminhões,West Coast Collectables Co.,EUA,460
48,10/02/2021,Concluída,Ônibus e Caminhões,Signal Collectibles Ltd.,EUA,480
35,10/02/2021,Concluída,Ônibus e Caminhões,Signal Collectibles Ltd.,EUA,350
32,10/03/2021,Concluída,Ônibus e Caminhões,Cambridge Collectables Co.,EUA,320
37,04/05/2021,Concluída,Ônibus e Caminhões,Super Scale Inc.,EUA,370
21,04/05/2021,Concluída,Ônibus e Caminhões,Super Scale Inc.,EUA,210
38,04/05/2021,Concluída,Ônibus e Caminhões,Super Scale Inc.,EUA,380
29,04/05/2021,Concluída,Ônibus e Caminhões,Super Scale Inc.,EUA,290
44,04/05/2021,Concluída,Ônibus e Caminhões,Super Scale Inc.,EUA,440
48,19/08/2021,Concluída,Ônibus e Caminhões,Diecast Classics Inc.,EUA,480
31,19/08/2021,Concluída,Ônibus e Caminhões,Diecast Classics Inc.,EUA,310
29,19/08/2021,Concluída,Ônibus e Caminhões,Diecast Classics Inc.,EUA,290
29,19/08/2021,Concluída,Ônibus e Caminhões,Diecast Classics Inc.,EUA,290
25,19/08/2021,Concluída,Ônibus e Caminhões,Diecast Classics Inc.,EUA,250
25,19/08/2021,Concluída,Ônibus e Caminhões,Diecast Classics Inc.,EUA,250
41,19/08/2021,Concluída,Ônibus e Caminhões,Diecast Classics Inc.,EUA,410
25,19/08/2021,Concluída,Ônibus e Caminhões,Diecast Classics Inc.,EUA,250
36,19/08/2021,Concluída,Ônibus e Caminhões,Diecast Classics Inc.,EUA,360
50,08/09/2021,Concluída,Ônibus e Caminhões,Land of Toys Inc.,EUA,500
41,08/09/2021,Concluída,Ônibus e Caminhões,Land of Toys Inc.,EUA,410
41,08/09/2021,Concluída,Ônibus e Caminhões,Land of Toys Inc.,EUA,410
21,08/09/2021,Concluída,Ônibus e Caminhões,Land of Toys Inc.,EUA,210
41,13/10/2021,Concluída,Ônibus e Caminhões,Marta's Replicas Co.,EUA,410
36,13/10/2021,Concluída,Ônibus e Caminhões,Marta's Replicas Co.,EUA,360
42,13/10/2021,Concluída,Ônibus e Caminhões,Marta's Replicas Co.,EUA,420
24,13/10/2021,Concluída,Ônibus e Caminhões,Marta's Replicas Co.,EUA,240
28,13/10/2021,Concluída,Ônibus e Caminhões,Marta's Replicas Co.,EUA,280
40,13/10/2021,Concluída,Ônibus e Caminhões,Marta's Replicas Co.,EUA,400
22,13/10/2021,Concluída,Ônibus e Caminhões,Marta's Replicas Co.,EUA,220
38,13/10/2021,Concluída,Ônibus e Caminhões,Marta's Replicas Co.,EUA,380
35,04/11/2021,Concluída,Ônibus e Caminhões,Online Diecast Creations Co.,EUA,350
22,04/11/2021,Concluída,Ônibus e Caminhões,Online Diecast Creations Co.,EUA,220
27,04/11/2021,Concluída,Ônibus e Caminhões,Online Diecast Creations Co.,EUA,270
20,05/11/2021,Concluída,Ônibus e Caminhões,Vitachrome Inc.,EUA,200
33,05/11/2021,Concluída,Ônibus e Caminhões,Vitachrome Inc.,EUA,330
